NAME,Category,Sub Category,Main Ingredient_1,Ingredient_2
ပိန္နဲသီးဆူးပုတ်ချက်,အရံဟင်း,အသီးအရွက်,ပိန္နဲသီး,ဆူးပုတ်ရွက်
ပိန္နဲသီးငါးနီတူချက်,အရံဟင်း,အသီးအရွက်,ပိန္နဲသီး,ငါးနီတူခြောက်
ရှူးရှဲငါးကြင်း ငါးပိချက်,အရံဟင်း,အငန်ချက်ဟင်းများ,ငါး,
ပလောင်တောင်ယာဟင်းချက်နည်း,ဟင်းချို/ဟင်းရည်,ရိုးရာ ဆမ်းစား အရည်သောက်ဟင်း,ကြက်သား,အသီးအရွက်များ
ကုလားပဲလုံးသုပ်,အသုပ်,အသီးအရွက်သုပ်,ကုလားပဲ,
မျှစ်ငါးနီတူအစပ်ချက်,အရံဟင်း,အသားနှင့် အသီးအရွက်,မျှစ်,ငါးနီတူခြောက်
ပဲသွေးရခိုင်သုပ်,အသုပ်,အသီးအရွက်သုပ်,ပဲသွေး,
ဆီလွတ် အရည်သောက် ကြက်သားအာပူလျှာပူ,ဟင်းချို/ဟင်းရည်,ရိုးရာ ဆမ်းစား အရည်သောက်ဟင်း,ကြက်သား,
အညာခရမ်းချဉ်သီးထောင်း ချဉ်ငန်စပ်,အရံဟင်း,အသီးအရွက်,ခရမ်းချဉ်သီး,
ချိုချဉ်စပ် ပြောင်းဖူးထောင်း,အရံဟင်း,အသီးအရွက်,ပြောင်းဖူး,
မကျည်းသီးထောင်း,အရံဟင်း,အသီးအရွက်,မကျည်းသီး,
လယ်တောဟင်း,ဟင်းချို/ဟင်းရည်,ဟင်းချို,ကြက်သား,
ရခိုင်ငါးနီတူသုပ်,အသုပ်,အသားသုပ်,ငါးနီတူခြောက်,
လျှာဂျွမ်းပြန် ကြက်သား ပဲရည်သုပ်စပ်စပ်လေး,အသုပ်,အသားသုပ်,ကြက်သား,
ပုဇွန်‌ကြော်နှပ်,ငါးနှင့် ပင်လယ်စာ,ငါးနှင့် ပင်လယ်စာအကြော်များ,ပုဇွန်,
ပုဇွန်ခြောက်ငံရည်ရည်ချက်,အရံဟင်း,အငန်ချက်ဟင်းများ,ပုဇွန်ခြောက်,
ဘူးသီးနဲ့ကြက်ခြေထောက် ကြက်ရိုးဟင်းချို,ဟင်းချို/ဟင်းရည်,ရိုးရာ ဆမ်းစား အရည်သောက်ဟင်း,ဘူးသီး,
ရခိုင်ငရုတ်သီးထောင်း,အရံဟင်း,အငန်ချက်ဟင်းများ,ငရုတ်သီးစိမ်း,
ဗူးရွက်ဟင်းချို,ဟင်းချို/ဟင်းရည်,ဟင်းချို,ဘူးညွှန့်,
ခဝဲသီးနဲ့မျှစ်ကြော်,အရံဟင်း,အသီးအရွက်,ခဝဲသီး,မျှစ်
ဆီမပါတဲ့ သီးရွက်စုံဟင်းချို,ဟင်းချို/ဟင်းရည်,ဟင်းချို,အသီးအရွက်များ,
သီးရွက်စုံကြော်,အရံဟင်း,အသီးအရွက်,အသီးအရွက်များ,
ကြွက်နားရွက်မှိုရခိုင်သုပ်,အသုပ်,အသီးအရွက်သုပ်,ကြွက်နားရွက်မှို,
ကြောင်လျှာသီးကြော်,အရံဟင်း,အသီးအရွက်,ကြောင်လျှာသီး,
ခရမ်းသီးအိုးကပ်,အရံဟင်း,အသီးအရွက်,ခရမ်းသီး,
မုန်ညှင်းရွက်ချဉ်ရည်ဟင်း,ဟင်းချို/ဟင်းရည်,ရိုးရာ ဆမ်းစား အရည်သောက်ဟင်း,မုန်ညင်း,
ဆူးပုတ်ငရုတ်သီးထောင်း,အရံဟင်း,အသီးအရွက်,ဆူးပုတ်ရွက်,
ကြက်သဲမြစ်အစပ်ကြော်,အသားဟင်း,Stired Fried,ကြက်သား,
ကြက်ပဲငါးပိအစပ်ချက်,အသားဟင်း,ဆီပြန်ဟင်း / နှပ်ချက်,ကြက်သား,
ကြက်ဂွေးတောက်အချိုကြော်,အသားဟင်း,Stired Fried,ကြက်သား,
ကြက်ပဲဟင်း,အသားဟင်း,ဆီပြန်ဟင်း / နှပ်ချက်,ကြက်သား,
ကြက်မှို အချိုချက် ,အသားဟင်း,ဆီပြန်ဟင်း / နှပ်ချက်,ကြက်သား,
ကြက်ကချင်ချက်,အသားဟင်း,အသားနှင့် အသီးအရွက်ရောဟင်း,ကြက်သား,
ကြက်သားမရမ်းပြားမွန်ချက်,အသားဟင်း,အသားနှင့် အသီးအရွက်ရောဟင်း,ကြက်သား,
ကြက်သားလုံးချိုချဉ်ကြော်,အသားဟင်း,Stired Fried,ကြက်သား,
ကြက်ပဲပြားခရုဆီအစပ်ကြော်,အသားဟင်း,Stired Fried,ကြက်သား,
ကြက်လက်ဖက်မွှေး,အသားဟင်း,ဆီပြန်ဟင်း / နှပ်ချက်,ကြက်သား,
ကြက်ချိုချဉ်ကြော်,အသားဟင်း,Stired Fried,ကြက်သား,
ပူပူစပ်စပ် မျှစ် ကြက်သားချက်,အသားဟင်း,ဆီပြန်ဟင်း / နှပ်ချက်,ကြက်သား,
ကြက်ချဉ်စပ်,အသားဟင်း,Stired Fried,ကြက်သား,
ကြက်သားရွှေဖရုံသီး,အသားဟင်း,Stired Fried,ကြက်သား,
ကြက်သားပဲပြားငုံးဥကြော်ချက်,အသားဟင်း,Stired Fried,ကြက်သား,
ကြက်သားပဲကြာဆန်ချဉ်စပ်ဟင်းရည်,ဟင်းချို/ဟင်းရည်,ရိုးရာ ဆမ်းစား အရည်သောက်ဟင်း,ကြက်သား,
ကြက်သားကာလသားချက်,အသားဟင်း,ဆီပြန်ဟင်း / နှပ်ချက်,ကြက်သား,
ကြက်ကုန်းဘောင်ကြီးကြော်,အသားဟင်း,Stired Fried,ကြက်သား,
ကုလားပဲနှပ်,အရံဟင်း,အသီးအရွက်,ကုလားပဲ,
မုန်လာဥချဥ်ရည်ဟင်း,ဟင်းချို/ဟင်းရည်,ရိုးရာ ဆမ်းစား အရည်သောက်ဟင်း,မုန်လာဥ,
ဝဥသုပ်,အသုပ်,အသီးအရွက်သုပ်,ဝဥ,
တီလားဘီးယားငါးပေါင်း,ငါးနှင့် ပင်လယ်စာ,ငါး‌ပေါင်း,ငါး,
ကျောက်ပွင့်သုပ်(မှိုဖြူ),အသုပ်,အသီးအရွက်သုပ်,ကျောက်ပွင့်,
ငါးကြင်း.ဒန့်ဒလွန်သီးချက်နည်း,ငါးနှင့် ပင်လယ်စာ,ငါးဟင်း,ငါး,
တဇောင်းခါးကြော်/တစောင်းဖူးကြော်,အရံဟင်း,အသီးအရွက်,တဇောင်းခါး/တစောင်းဖူး,
လယ်ငါးဇင်ရိုင်းအိုးကပ်,ငါးနှင့် ပင်လယ်စာ,ငါးဟင်း,ငါး,
ငါးကျည်းကြပ်တိုက်ခရမ်းချဉ်သီးချက်,ငါးနှင့် ပင်လယ်စာ,ငါးဟင်း,ငါး,
ရခိုင်ဟင်းလှော်(or)ဟင်းပေါင်း,အရံဟင်း,အငန်ချက်ဟင်းများ,အသီးအရွက်များ,
ငပိကြော်နည်း,အရံဟင်း,အငန်ချက်ဟင်းများ,ပုဇွန်ခြောက်,
ဆိတ်ကလီစာ/အူကြမ်းဟင်း,အသားဟင်း,ဆီပြန်ဟင်း / နှပ်ချက်,ဆိတ်သား,
ထိုင်းစတိုင် ဝက်နံရိုး မီးတောင်ချဉ်စပ် ဟင်းချို,ဟင်းချို/ဟင်းရည်,အခြားဟင်းချိုများ,၀က်သား,
ဘဲဥသံပုရာ,အသားဟင်း,ဆီပြန်ဟင်း / နှပ်ချက်,ကြက်ဥ/ဘဲဥ,
ထိုင်း စတိုင်စ် ပင်လယ်စာစုံ ပဲကြာဇံသုပ်,အသုပ်,အသီးအရွက်သုပ်,ပဲကြာဇံ,
ဝက်အူချိုကင်မွှေးမွှေးလေး,အသားဟင်း,အကင်,၀က်သား,
၀က်ခြေထောက်/၀က်လက်စွပ်ပြုတ်,ဟင်းချို/ဟင်းရည်,အခြားဟင်းချိုများ,၀က်သား,
ယိုးဒယားငါးချိုချဉ်ကြော်,ငါးနှင့် ပင်လယ်စာ,ငါးနှင့် ပင်လယ်စာအကြော်များ,ငါး,
ဂဏန်းမဆလာ,ငါးနှင့် ပင်လယ်စာ,ပင်လယ်စာဟင်းများ,ဂဏန်း,
ပုဇွန်ငါးဆုပ်လုံး,ငါးနှင့် ပင်လယ်စာ,ပင်လယ်စာဟင်းများ,ပုဇွန်,
သခွတ်ပွင့်ခြောက်သုပ်,အသုပ်,အသီးအရွက်သုပ်,သခွတ်ပွင့်ခြောက်,
ထိမိဂွိ အာပြဲလန် ငါးငပိချက်,အရံဟင်း,အငန်ချက်ဟင်းများ,ပုဇွန်ခြောက်,
ရှူးရှဲ ငါးကြင်း ငပိချက်,အရံဟင်း,အငန်ချက်ဟင်းများ,ငါး,
ဘဲဥဆီပြန်ဟင်း,အသားဟင်း,ဆီပြန်ဟင်း / နှပ်ချက်,ကြက်ဥ/ဘဲဥ,
ဆိတ်သားနှပ်,အသားဟင်း,ဆီပြန်ဟင်း / နှပ်ချက်,ဆိတ်သား,
ငါးသလောက်ရခိုင်အရည်ဆမ်းအာပူချက်,ဟင်းချို/ဟင်းရည်,ရိုးရာ ဆမ်းစား အရည်သောက်ဟင်း,ငါး,
ဂျပန်တို့ဖူးခရမ်းချဉ်သီးချက်,အရံဟင်း,အသီးအရွက်,ဂျပန်တို့ဟူး,
သီးစုံချဉ်ရေဟင်း ချက်နည်း,ဟင်းချို/ဟင်းရည်,ရိုးရာ ဆမ်းစား အရည်သောက်ဟင်း,အသီးအရွက်များ,
ဝက်နံရိုးမုန်ညှင်းစောချက်နည်း,ဟင်းချို/ဟင်းရည်,ရိုးရာ ဆမ်းစား အရည်သောက်ဟင်း,၀က်သား,
အနှစ်တစ်ရာသီးပန်စိမ်းဥနီကြော်,အရံဟင်း,အသီးအရွက်,ပဲကော/နှစ်တစ်ရာသီး,
ငါး​ခေါင်းဟင်းချို,ဟင်းချို/ဟင်းရည်,အခြားဟင်းချိုများ,ငါး,
ငါးဖောင်ရိုးခြောက်( သို့) အာပြဲခြောက်ကြော် /ကင်,အရံဟင်း,အငန်ချက်ဟင်းများ,ငါးခြောက်,
ငါးပြေမဆီပြန်,ငါးနှင့် ပင်လယ်စာ,ငါးဟင်း,ငါး,
ဆိတ်သားအာလူးဆီပြန်,အသားဟင်း,ဆီပြန်ဟင်း / နှပ်ချက်,ဆိတ်သား,
ရှူးရှဲမျှစ်သုပ်ထောင်း,အသုပ်,အသီးအရွက်သုပ်,မျှစ်,
ချဉ်ငံစပ်ငါးဖယ် ကင်မွန်းချဉ်ချက်(အကောင်),ငါးနှင့် ပင်လယ်စာ,ပင်လယ်စာဟင်းများ,ငါးဖယ်,
အာလူးသုပ်,အသုပ်,အသီးအရွက်သုပ်,အာလူး,
ဘဲဥဝက်သားအချိုချက်,အသားဟင်း,ဆီပြန်ဟင်း / နှပ်ချက်,၀က်သား,
ငါးသံပရာပေါင်း,ငါးနှင့် ပင်လယ်စာ,ငါး‌ပေါင်း,ငါး,
ဝက်အူအချိုပြုတ်အိအိလေးစားကြရအောင်,အသားဟင်း,အသားပေါင်း,၀က်သား,
ဝက်အူမကြီး ပြုပ်ကြော်,အသားဟင်း,အသားပေါင်း,၀က်သား,
ငါးခြောက်ကိုခရမ်းချဉ်သီးနဲ့အနှစ်ချက်,အရံဟင်း,အငန်ချက်ဟင်းများ,ငါးခြောက်,
ပုဇွန်ငရုပ်ပွအချိုချက်,ငါးနှင့် ပင်လယ်စာ,ပင်လယ်စာဟင်းများ,ပုဇွန်,
ကြက်သားဆန်ပြုတ်,ဟင်းချို/ဟင်းရည်,ရိုးရာ ဆမ်းစား အရည်သောက်ဟင်း,ကြက်သား,
ကြာစွယ်ရခိုင်ချက်,အရံဟင်း,အသီးအရွက်,ကြာစွယ်,
ပိန်းဥချက်,အရံဟင်း,အသီးအရွက်,ပိန်းဥ,
ဂုံမင်းဟင်းချို,ဟင်းချို/ဟင်းရည်,ဟင်းချို,ဂုံးမင်း,
ပုဇွန်ကိတ်မွမွကြော်,ငါးနှင့် ပင်လယ်စာ,ပင်လယ်စာဟင်းများ,ပုဇွန်,
ငှက်စို့မှိုထောင်း(ရခိုင်ဟင်း),အရံဟင်း,အသီးအရွက်,ငှက်စို့မှို,
ဝက်နံရိုးကြော်ဆိမ့်ဆိမ့်မွှေးမွှေးလေး,အသားဟင်း,အသားဆီကြော်,၀က်သား,
ဝက်တစ်နေလှန်းကြော်,အသားဟင်း,အသားဆီကြော်,၀က်သား,
ဝက်ခြောက်စပ်သီဟိုဠ်စေ့ကပ်ကြော်,အသားဟင်း,အသားဆီကြော်,၀က်သား,သီဟိုဠ်စေ့
ဝက်ခြင်းလုံးကြော်,အသားဟင်း,အသားဆီကြော်,၀က်သား,
ဝက်နံရိုးပြုတ်ကြော်,အသားဟင်း,အသားဆီကြော်,၀က်သား,
Scotch Egg (၀က်သား ကြက်ဥအစာသွပ်ကြော်),အသားဟင်း,အသားဆီကြော်,၀က်သား,
သုံးထပ်သားပြုတ်ကြော်အိအိလေး,အသားဟင်း,အသားဆီကြော်,၀က်သား,
ပျားရည် ၀က်နံရိုးကြော်,အသားဟင်း,အသားဆီကြော်,၀က်သား,
ဝက်သားကိုယူနန်စတိုင်လ်အကြွပ်ကြော်,အသားဟင်း,အသားဆီကြော်,၀က်သား,
၀က်အူချောင်းအရသာ အသားလုံးကြော်,အသားဟင်း,အသားဆီကြော်,၀က်သား,
ဝက်သားကြော်,အသားဟင်း,အသားဆီကြော်,၀က်သား,
ဝက်သုံးထပ်သားအကြွပ်ကြော်,အသားဟင်း,အသားဆီကြော်,၀က်သား,
ဝက်သားကြော်နှပ်,အသားဟင်း,Stired Fried,၀က်သား,
ဝက်သားလုံးကြော်ကြွပ်မွလေး,အသားဟင်း,အသားဆီကြော်,၀က်သား,
ဂျပန်တို့ဟူး၊အပ်မှိုချဉ်စပ်ချက်နည်း,အရံဟင်း,အသီးအရွက်,ဂျပန်တို့ဟူး,
အာလူးကချင်ထောင်း,အရံဟင်း,အသီးအရွက်,အာလူး,
ပြည်ကြီးငါး(သို့)ကင်းမွန်ချဉ်စပ်,ငါးနှင့် ပင်လယ်စာ,ပင်လယ်စာဟင်းများ,ပြည်ကြီးငါး,
ရေဘဝဲအိမ်ကြော် ခပ်စပ်စပ်လေး,ငါးနှင့် ပင်လယ်စာ,ငါးနှင့် ပင်လယ်စာအကြော်များ,‌ရေဘဝဲ,
ပုဇွန်ထုပ်လှော်အစပ်ချက်,ငါးနှင့် ပင်လယ်စာ,ငါးနှင့် ပင်လယ်စာအကြော်များ,ပုဇွန်,
ပုဇွန်မဆလာချက်,ငါးနှင့် ပင်လယ်စာ,ပင်လယ်စာဟင်းများ,ပုဇွန်,
ကင်းမွန် အစာသွတ်ကြော်ပြုလုပ်နည်း,ငါးနှင့် ပင်လယ်စာ,ပင်လယ်စာဟင်းများ,ကင်းမွန်,
ကင်းမွန်အချိုချက်,ငါးနှင့် ပင်လယ်စာ,ပင်လယ်စာဟင်းများ,ကင်းမွန်,
ကြက်ပေါင်ကြာဆံချဉ်စပ်,ဟင်းချို/ဟင်းရည်,အခြားဟင်းချိုများ,ကြက်သား,
ပဲကြာဇံချိုချဉ်စပ်သုပ်,အသုပ်,အသီးအရွက်သုပ်,ပဲကြာဇံ,
ဂျယ်လီပဲကြာဇံနှင့်ပင်လယ်စာချဉ်စပ်သုပ်,ငါးနှင့် ပင်လယ်စာ,ပင်လယ်စာဟင်းများ,ပုဇွန်/ရေဘ၀ဲ/ကင်းမွန်,ပဲကြာဇံ
ကြက်ပေါင်းမြူစွပ်ရှုးရှဲချဉ်ငန်စပ်,ဟင်းချို/ဟင်းရည်,အခြားဟင်းချိုများ,ကြက်သား,
ကြက်စွပ်ပြုတ်/ဆိတ်စွပ်ပြုတ်,ဟင်းချို/ဟင်းရည်,အခြားဟင်းချိုများ,ကြက်သား,
တို့ဟူးသုတ်,အသုပ်,အသီးအရွက်သုပ်,တို့ဟူး,
တုံယမ်း ဟင်းရည် (၄ -၅ ယောက်စာ),ဟင်းချို/ဟင်းရည်,အခြားဟင်းချိုများ,တုံယမ်း,
ဝက်အူစုံပြုတ်,အသားဟင်း,အသားပေါင်း,၀က်သား,
ဝက်ကလီစာ သောက်ဆမ်း(စွတ်ပြုတ်),ဟင်းချို/ဟင်းရည်,အခြားဟင်းချိုများ,၀က်သား,
ဂဏန်း ပြောင်းဖူး ကော်ရည် ဟင်းချို,ဟင်းချို/ဟင်းရည်,အခြားဟင်းချိုများ,ဂဏန်း,
အမဲသားတောချက် အရည်သောက် စပ်စပ်လေး,အသားဟင်း,ဆီပြန်ဟင်း / နှပ်ချက်,အမဲသား,
ကြက်ခြေထောက်တုန်ယမ်းချဉ်စပ်,ဟင်းချို/ဟင်းရည်,အခြားဟင်းချိုများ,ကြက်သား,
ငါးဖယ်လုံး မှိုမျိူးစုံ ငရုတ်စိမ်း နဲ့ ရှူးရှူးရှဲရှဲ ဟင်းချို,ဟင်းချို/ဟင်းရည်,အခြားဟင်းချိုများ,ငါးဖယ်,
ဗရဲဂါးဟင်းရည် (မြန်မာအခေါ် - ငါးနှပ် ဟင်းချို),ဟင်းချို/ဟင်းရည်,အခြားဟင်းချိုများ,ငါး,
ကြက်သားကင်နဲ့ဝက်သားကင်,အသားဟင်း,အကင်,ကြက်/၀က်/အမဲ/ဆိတ်,
ကြက်အူဆီပြန်ဟင်း,အသားဟင်း,ဆီပြန်ဟင်း / နှပ်ချက်,ကြက်သား,
ထိုင်းကြက်ပေါင်းလုပ်နည်းလေး,ဟင်းချို/ဟင်းရည်,အခြားဟင်းချိုများ,ကြက်သား,
ငါးကြင်းကြော်နှပ် ,ငါးနှင့် ပင်လယ်စာ,ငါးနှင့် ပင်လယ်စာအကြော်များ,ငါး,
ငါးကြင်းဆီပြန်,ငါးနှင့် ပင်လယ်စာ,ငါးဟင်း,ငါး,
ငါးခူကြော်နှပ်,ငါးနှင့် ပင်လယ်စာ,ငါးနှင့် ပင်လယ်စာအကြော်များ,ငါး,
ငါးခူဟင်း,ငါးနှင့် ပင်လယ်စာ,ငါးဟင်း,ငါး,
ငါးရံ့ရေချိုချက်,ငါးနှင့် ပင်လယ်စာ,ငါးဟင်း,ငါး,
ငါးရံ့ အသားလွှာဟင်း,ငါးနှင့် ပင်လယ်စာ,ငါးဟင်း,ငါး,
ငါးခူအသားလွှာဟင်း,ငါးနှင့် ပင်လယ်စာ,ငါးဟင်း,ငါး,
ငါးဒန်ဟင်း,ငါးနှင့် ပင်လယ်စာ,ငါးဟင်း,ငါး,
ငါးရံ့ဒန်ဒလွန်သီး,ငါးနှင့် ပင်လယ်စာ,ငါးဟင်း,ငါး,
ငါးမြင်းဆီပြန်,ငါးနှင့် ပင်လယ်စာ,ငါးဟင်း,ငါး,
ငါးအသားချောင်းကြော်,ငါးနှင့် ပင်လယ်စာ,ငါးနှင့် ပင်လယ်စာအကြော်များ,ငါး,
ငါးမုတ်ကြော်,ငါးနှင့် ပင်လယ်စာ,ပင်လယ်စာဟင်းများ,ငါးဖယ်,
ငါးဖယ်ဟင်း,ငါးနှင့် ပင်လယ်စာ,ပင်လယ်စာဟင်းများ,ငါးဖယ်,
ငါးဖယ်ကြော် (အချို/အစပ်),ငါးနှင့် ပင်လယ်စာ,ပင်လယ်စာဟင်းများ,ငါးဖယ်,
ငါးကျည်းကြော်,ငါးနှင့် ပင်လယ်စာ,ငါးနှင့် ပင်လယ်စာအကြော်များ,ငါး,
ငါးပုဏးဟင်း,ငါးနှင့် ပင်လယ်စာ,ငါးဟင်း,ငါး,
ကက္ကတစ်ကြော်နှပ်,ငါးနှင့် ပင်လယ်စာ,ငါးဟင်း,ငါး,
ကကတစ်ငါးဟင်း,ငါးနှင့် ပင်လယ်စာ,ငါးဟင်း,ငါး,
ငါးနုသန်းကြော်,ငါးနှင့် ပင်လယ်စာ,ငါးနှင့် ပင်လယ်စာအကြော်များ,ငါး,
ငါးနုသန်းချက်,ငါးနှင့် ပင်လယ်စာ,ငါးဟင်း,ငါး,
